DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-2,deploy-test-2-7df5989c69-mbqlc,0.0,0.0,2000.0,0.0,1000.0
deploy-test-17,deploy-test-17-847948fc69-x5nf4,2000.0,0.0,1000.0,0.0,1000.0
deploy-test-37,deploy-test-37-589c55fb95-hz2fh,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-52,deploy-test-52-7c578967fb-wqqj4,4000.0,0.0,2000.0,0.0,2000.0
deploy-test-19,deploy-test-19-fc9f66f67-mw74h,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-32,deploy-test-32-5c464db8db-w6sj6,3000.0,0.0,1000.0,0.0,2000.0
deploy-test-55,deploy-test-55-6699cb98f5-728xf,3000.0,0.0,3000.0,0.0,1000.0
deploy-test-63,deploy-test-63-69dbbf9564-t9cb8,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-77,deploy-test-77-64bf9f696c-kxzq7,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-1,deploy-test-1-b65b8967d-48xbt,0.0,0.0,1000.0,0.0,1000.0
deploy-test-4,deploy-test-4-674dd49567-5m47c,0.0,0.0,2000.0,0.0,1000.0
deploy-test-16,deploy-test-16-df8ff995b-ddzpq,1000.0,0.0,3000.0,0.0,1000.0
deploy-test-80,deploy-test-80-6bbfddbfc7-x2mks,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-65,deploy-test-65-5699fb5b74-tllng,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-68,deploy-test-68-665b8d76bc-qbmpw,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-82,deploy-test-82-5c97d48755-ckzn4,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-24,deploy-test-24-559b979567-g92wx,2000.0,0.0,1000.0,0.0,1000.0
deploy-test-42,deploy-test-42-6d666d6847-6g5kr,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-54,deploy-test-54-785d6c86c8-rnz25,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-86,deploy-test-86-54dc58b7c5-2ht8j,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-91,deploy-test-91-864466c767-s5wgb,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-5,deploy-test-5-5c48bbdcdb-jkqs5,0.0,0.0,1000.0,0.0,2000.0
deploy-test-27,deploy-test-27-5dd7998b8d-hnld7,1000.0,0.0,2000.0,0.0,1000.0
