framework,namespace,pod,container,type,network_type,value
karmada,kube-system,calico-node-sh9fs,POD,received_bytes,kubernetes,3328.371148518254
karmada,kube-system,calico-node-sh9fs,POD,received_packets,kubernetes,26.17060983459655
karmada,kube-system,calico-node-sh9fs,POD,transmit_bytes,kubernetes,33520.17855149199
karmada,kube-system,calico-node-sh9fs,POD,transmit_packets,kubernetes,25.05688045062386
karmada,kube-system,calico-node-xwk8l,POD,received_bytes,kubernetes,261795.95650794092
karmada,kube-system,calico-node-xwk8l,POD,received_packets,kubernetes,3981.517831917123
karmada,kube-system,calico-node-xwk8l,POD,transmit_bytes,kubernetes,282533.2365135492
karmada,kube-system,calico-node-xwk8l,POD,transmit_packets,kubernetes,3995.6002839506873
karmada,kube-system,coredns-76f75df574-cppbr,POD,received_bytes,kubernetes,98.11724503948153
karmada,kube-system,coredns-76f75df574-cppbr,POD,received_packets,kubernetes,1.049766238451473
karmada,kube-system,coredns-76f75df574-cppbr,POD,transmit_bytes,kubernetes,97.18022144734248
karmada,kube-system,coredns-76f75df574-cppbr,POD,transmit_packets,kubernetes,1.0346936418592259
karmada,kube-system,coredns-76f75df574-qfcbg,POD,received_bytes,kubernetes,99.41881387278828
karmada,kube-system,coredns-76f75df574-qfcbg,POD,received_packets,kubernetes,1.067411032236904
karmada,kube-system,coredns-76f75df574-qfcbg,POD,transmit_bytes,kubernetes,97.89556716329366
karmada,kube-system,coredns-76f75df574-qfcbg,POD,transmit_packets,kubernetes,1.029604280654663
karmada,kube-system,etcd-kubernetes-1,POD,received_bytes,kubernetes,3373.9121308250674
karmada,kube-system,etcd-kubernetes-1,POD,received_packets,kubernetes,26.292029138407198
karmada,kube-system,etcd-kubernetes-1,POD,transmit_bytes,kubernetes,34626.946477004145
karmada,kube-system,etcd-kubernetes-1,POD,transmit_packets,kubernetes,25.207247734164195
karmada,kube-system,kube-apiserver-kubernetes-1,POD,received_bytes,kubernetes,3330.5334532118272
karmada,kube-system,kube-apiserver-kubernetes-1,POD,received_packets,kubernetes,25.756848152454765
karmada,kube-system,kube-apiserver-kubernetes-1,POD,transmit_bytes,kubernetes,35092.65064946753
karmada,kube-system,kube-apiserver-kubernetes-1,POD,transmit_packets,kubernetes,24.722750142741745
karmada,kube-system,kube-controller-manager-kubernetes-1,POD,received_bytes,kubernetes,3397.1044692097116
karmada,kube-system,kube-controller-manager-kubernetes-1,POD,received_packets,kubernetes,26.456094353782103
karmada,kube-system,kube-controller-manager-kubernetes-1,POD,transmit_bytes,kubernetes,36113.32566366974
karmada,kube-system,kube-controller-manager-kubernetes-1,POD,transmit_packets,kubernetes,25.453170873611782
karmada,kube-system,kube-multus-ds-9zcf8,POD,received_bytes,kubernetes,163880.68556612558
karmada,kube-system,kube-multus-ds-9zcf8,POD,received_packets,kubernetes,2527.774782422496
karmada,kube-system,kube-multus-ds-9zcf8,POD,transmit_bytes,kubernetes,177237.11842473995
karmada,kube-system,kube-multus-ds-9zcf8,POD,transmit_packets,kubernetes,2537.869617231422
karmada,kube-system,kube-multus-ds-kn6rr,POD,received_bytes,kubernetes,252621.79208246226
karmada,kube-system,kube-multus-ds-kn6rr,POD,received_packets,kubernetes,3916.220406907562
karmada,kube-system,kube-multus-ds-kn6rr,POD,transmit_bytes,kubernetes,273111.6398451105
karmada,kube-system,kube-multus-ds-kn6rr,POD,transmit_packets,kubernetes,3931.7032075572283
karmada,kube-system,kube-multus-ds-l266r,POD,received_bytes,kubernetes,409895.673221694
karmada,kube-system,kube-multus-ds-l266r,POD,received_packets,kubernetes,5401.486062327308
karmada,kube-system,kube-multus-ds-l266r,POD,transmit_bytes,kubernetes,434388.2051010562
karmada,kube-system,kube-multus-ds-l266r,POD,transmit_packets,kubernetes,5390.562799880071
karmada,kube-system,kube-multus-ds-thtw6,POD,received_bytes,kubernetes,3289.731649637363
karmada,kube-system,kube-multus-ds-thtw6,POD,received_packets,kubernetes,25.864376419343
karmada,kube-system,kube-multus-ds-thtw6,POD,transmit_bytes,kubernetes,35316.06164634486
karmada,kube-system,kube-multus-ds-thtw6,POD,transmit_packets,kubernetes,24.810767581029125
karmada,kube-system,kube-multus-ds-xlb9r,POD,received_bytes,kubernetes,446920.499286466
karmada,kube-system,kube-multus-ds-xlb9r,POD,received_packets,kubernetes,5540.841572364141
karmada,kube-system,kube-multus-ds-xlb9r,POD,transmit_bytes,kubernetes,424824.52707378403
karmada,kube-system,kube-multus-ds-xlb9r,POD,transmit_packets,kubernetes,5525.002393754455
karmada,kube-system,kube-multus-ds-z29rg,POD,received_bytes,kubernetes,259481.40321164098
karmada,kube-system,kube-multus-ds-z29rg,POD,received_packets,kubernetes,3945.8190906485693
karmada,kube-system,kube-multus-ds-z29rg,POD,transmit_bytes,kubernetes,280090.8948037768
karmada,kube-system,kube-multus-ds-z29rg,POD,transmit_packets,kubernetes,3959.84156279538
karmada,kube-system,kube-proxy-79mh2,POD,received_bytes,kubernetes,3405.295736819211
karmada,kube-system,kube-proxy-79mh2,POD,received_packets,kubernetes,26.677181182179794
karmada,kube-system,kube-proxy-79mh2,POD,transmit_bytes,kubernetes,36013.6807717711
karmada,kube-system,kube-proxy-79mh2,POD,transmit_packets,kubernetes,25.586734759839867
karmada,kube-system,kube-proxy-8tk6n,POD,received_bytes,kubernetes,257437.1397602364
karmada,kube-system,kube-proxy-8tk6n,POD,received_packets,kubernetes,3992.3787384590128
karmada,kube-system,kube-proxy-8tk6n,POD,transmit_bytes,kubernetes,278374.64466175926
karmada,kube-system,kube-proxy-8tk6n,POD,transmit_packets,kubernetes,4008.04733376257
karmada,kube-system,kube-proxy-9k8wd,POD,received_bytes,kubernetes,263004.7647600379
karmada,kube-system,kube-proxy-9k8wd,POD,received_packets,kubernetes,4000.9659188185396
karmada,kube-system,kube-proxy-9k8wd,POD,transmit_bytes,kubernetes,283871.7054386682
karmada,kube-system,kube-proxy-9k8wd,POD,transmit_packets,kubernetes,4015.0862210525215
karmada,kube-system,kube-proxy-bxpjd,POD,received_bytes,kubernetes,409623.44025645667
karmada,kube-system,kube-proxy-bxpjd,POD,received_packets,kubernetes,5375.576352319315
karmada,kube-system,kube-proxy-bxpjd,POD,transmit_bytes,kubernetes,434182.47166455956
karmada,kube-system,kube-proxy-bxpjd,POD,transmit_packets,kubernetes,5364.155825352948
karmada,kube-system,kube-proxy-dq5zr,POD,received_bytes,kubernetes,398215.0251724411
karmada,kube-system,kube-proxy-dq5zr,POD,received_packets,kubernetes,4974.4013149490775
karmada,kube-system,kube-proxy-dq5zr,POD,transmit_bytes,kubernetes,380315.4253806714
karmada,kube-system,kube-proxy-dq5zr,POD,transmit_packets,kubernetes,4960.1948010817405
karmada,kube-system,kube-proxy-mvv25,POD,received_bytes,kubernetes,169687.23631301205
karmada,kube-system,kube-proxy-mvv25,POD,received_packets,kubernetes,2619.027696830734
karmada,kube-system,kube-proxy-mvv25,POD,transmit_bytes,kubernetes,183716.02876364332
karmada,kube-system,kube-proxy-mvv25,POD,transmit_packets,kubernetes,2629.315120476856
karmada,kube-system,kube-scheduler-kubernetes-1,POD,received_bytes,kubernetes,3384.2292289713973
